time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-04-19 18:00:16.568274,0,5e-05,0.26711164235075335,0.2755820832388131,0.29389133242613247,0.3513197834526772,0.2364628813995877,0.7294007490636705,0.6692883895131087,0.7895131086142322
2023-04-19 18:08:31.334861,1,0.0001,0.21196281219770513,0.23458058540960267,0.6059748420169608,0.6727453545733326,0.5392043294605889,0.7861423220973782,0.7599250936329588,0.8123595505617978
2023-04-19 18:16:46.693425,2,0.00015,0.19246189599484204,0.19457753594897798,0.6829921098397436,0.7561828466688834,0.6098013730106039,0.8153558052434458,0.8014981273408239,0.8292134831460675
2023-04-19 18:25:02.376465,3,0.0002,0.1814789109975098,0.18947955537141256,0.7153534927492846,0.7764967328074857,0.6542102526910836,0.8172284644194756,0.802247191011236,0.8322097378277153
2023-04-19 18:33:17.849175,4,0.00025,0.183519801598663,0.18079946894187485,0.7331227076093523,0.7863154533169723,0.6799299619017322,0.8213483146067415,0.8097378277153559,0.8329588014981273
2023-04-19 18:41:34.180996,5,0.0003,0.17429394652818628,0.17577296705961115,0.7405454942538445,0.7985089510284306,0.6825820374792584,0.8279026217228465,0.8153558052434456,0.8404494382022472
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_pass,val_average_precision_drive,val_binary_accuracy,val_binary_accuracy_pass,val_binary_accuracy_drive
2023-04-19 18:51:21.242717,0,0.00029919,0.17218418901537869,0.1745089952761452,0.7431427156268355,0.7980156712093269,0.688269760044344,0.8284644194756554,0.8134831460674158,0.8434456928838951
2023-04-19 18:59:37.713434,1,0.00029675,0.16176731445267822,0.1721342524867727,0.762329374625528,0.8200642847874384,0.7045944644636175,0.8322097378277153,0.8179775280898877,0.846441947565543
2023-04-19 19:07:54.007500,2,0.00029273,0.15608591072013017,0.16809187645809218,0.765311548301403,0.8266506511434628,0.7039724454593432,0.8425093632958801,0.8329588014981273,0.8520599250936329
2023-04-19 19:16:10.634839,3,0.00028716,0.15265188130984733,0.16291512017037907,0.7765956545203307,0.8401179301295467,0.7130733789111149,0.8455056179775281,0.8389513108614233,0.8520599250936329
2023-04-19 19:24:25.664751,4,0.0002801,0.144049121171857,0.16110881977480385,0.7795631223754036,0.8432520172254058,0.7158742275254015,0.8453183520599251,0.8389513108614233,0.851685393258427
2023-04-19 19:32:41.285296,5,0.00027164,0.15071971249456206,0.16095599163432375,0.7807021696441756,0.8445641925868075,0.7168401467015437,0.8466292134831461,0.8385767790262172,0.854681647940075
2023-04-19 19:40:57.902190,6,0.00026186,0.1415214251801373,0.16055647808951082,0.7885542871161773,0.8530527645921635,0.724055809640191,0.854681647940075,0.8468164794007491,0.8625468164794008
